Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
34955,1618,8.07,6.41,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,19.77,28.87,22.71,22.26,0.998,dup
34945,34641,3.87,0.0,0.0,1.0,1.0,1.0,0.05,10.51,14.74,10.81,10.37,14.28,21.31,14.51,17.93,0.996,dup
34917,16260,3.69,2.4,0.0,0.0,1.0,1.0,0.0,13.58,20.53,14.31,13.84,17.18,30.67,22.05,23.07,0.996,dup
34917,5300,4.01,2.4,0.0,0.0,1.0,1.0,0.0,13.58,20.53,14.31,13.84,8.78,14.94,11.07,14.94,0.983,dup
34867,34805,11.43,11.44,0.0,1.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,16.17,27.0,19.86,21.88,0.999,dup
34867,34479,11.56,10.71,0.0,1.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,21.22,33.14,24.13,27.76,0.999,dup
34867,33962,5.7,3.78,0.0,0.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,7.46,12.53,11.5,7.92,0.986,dup
34867,33904,11.19,4.98,0.0,0.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,13.87,26.52,20.06,21.24,0.996,dup
34867,33872,7.8,2.17,0.0,1.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,12.72,22.01,15.24,20.61,0.995,dup
34867,33867,7.55,3.36,0.0,1.0,1.0,1.0,0.0,14.03,22.05,15.26,16.85,10.16,21.59,13.99,16.14,0.995,dup
34867,33859,14.85,12.93,0.0,1.0,1.0,1.0,0.05,14.03,22.05,15.26,16.85,13.81,29.85,20.71,23.66,0.994,dup
34867,33841,8.67,10.71,0.0,1.0,1.0,0.5,0.05,14.03,22.05,15.26,16.85,15.8,23.32,19.97,19.5,0.997,dup
34861,34306,7.37,3.71,0.0,0.0,1.0,1.0,0.0,9.44,20.51,10.73,15.89,9.72,14.89,9.06,13.19,0.993,dup
34805,34479,17.89,20.67,0.0,1.0,1.0,1.0,0.0,16.17,27.0,19.86,21.88,21.22,33.14,24.13,27.76,1.0,dup
34805,33962,4.33,0.93,0.0,0.0,1.0,1.0,0.0,16.17,27.0,19.86,21.88,7.46,12.53,11.5,7.92,0.987,dup
34805,33904,13.73,11.34,0.0,0.0,1.0,1.0,0.0,16.17,27.0,19.86,21.88,13.87,26.52,20.06,21.24,0.999,dup
34805,33872,7.7,2.35,0.0,1.0,1.0,1.0,0.0,16.17,27.0,19.86,21.88,12.72,22.01,15.24,20.61,0.997,dup
34805,33867,6.44,4.57,0.0,1.0,1.0,1.0,0.0,16.17,27.0,19.86,21.88,10.16,21.59,13.99,16.14,0.997,dup
34805,33859,17.43,23.88,0.0,1.0,1.0,1.0,0.05,16.17,27.0,19.86,21.88,13.81,29.85,20.71,23.66,0.997,dup
34805,33841,16.0,16.86,0.0,1.0,1.0,0.5,0.05,16.17,27.0,19.86,21.88,15.8,23.32,19.97,19.5,0.998,dup
34792,34450,8.11,3.3,0.0,0.0,0.0,1.0,0.0,16.87,25.0,18.8,21.91,28.31,39.62,31.4,33.47,0.999,dup
34782,34569,16.0,20.63,0.0,1.0,1.0,1.0,0.05,14.99,20.27,18.2,17.52,16.26,26.46,19.6,23.16,0.995,dup
34759,24047,9.82,2.2,0.0,0.0,1.0,1.0,1.0,17.43,27.26,20.71,22.07,17.79,26.77,20.54,16.67,0.994,dup
34733,34639,18.1,12.46,0.0,1.0,1.0,1.0,0.0,20.7,33.02,25.16,22.89,17.06,27.61,21.35,21.8,0.999,dup
34733,34460,6.0,0.0,0.0,1.0,1.0,1.0,0.05,20.7,33.02,25.16,22.89,5.55,19.49,9.43,8.12,0.961,dup
34733,34282,12.96,7.67,0.0,1.0,1.0,1.0,0.0,20.7,33.02,25.16,22.89,11.1,23.02,16.52,17.7,0.994,dup
34733,34081,7.92,3.97,0.0,0.0,1.0,1.0,0.0,20.7,33.02,25.16,22.89,8.93,20.49,14.24,18.47,0.983,dup
34696,34630,18.97,15.83,0.0,1.0,1.0,1.0,0.0,26.13,37.82,30.37,26.38,20.47,36.23,26.6,29.76,0.993,dup
34660,34657,38.42,82.99,0.0,0.0,1.0,1.0,0.0,22.69,27.22,22.42,23.84,20.64,21.49,19.76,19.61,0.998,dup
34639,34460,7.74,0.0,0.0,1.0,1.0,1.0,0.05,17.06,27.61,21.35,21.8,5.55,19.49,9.43,8.12,0.954,dup
34639,34282,20.21,33.43,0.0,1.0,1.0,1.0,0.0,17.06,27.61,21.35,21.8,11.1,23.02,16.52,17.7,0.997,dup
34639,34081,12.7,7.86,0.0,0.0,1.0,1.0,0.0,17.06,27.61,21.35,21.8,8.93,20.49,14.24,18.47,0.99,dup
