Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,class
32529,28353,3.7571,3.2914,0.0,0.0,1.0,1.0,0.0,dup
32529,28063,3.7333,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,27661,3.6935,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,26991,2.3425,2.466,0.0,0.0,1.0,1.0,0.0,dup
32529,26512,3.7571,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,25993,1.6561,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,25456,4.0628,3.0992,0.0,0.0,0.0,1.0,0.0,dup
32529,25270,3.5038,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,25164,1.8016,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,24938,4.7492,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,24509,3.047,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,24192,2.5559,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,23950,5.2004,5.2114,0.0,0.0,0.0,1.0,0.0,dup
32529,23899,6.3617,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,20198,2.3663,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,19691,4.7492,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,19466,1.2049,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,12981,3.7333,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,12420,4.0795,0.0,0.0,0.0,1.0,1.0,0.3125,dup
32529,9045,2.7937,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,8902,1.2049,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,8103,4.0628,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,6283,4.5601,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,4153,4.7492,5.8446,0.0,0.0,1.0,1.0,0.3846,dup
32529,3029,1.2049,0.0,0.0,0.0,0.0,1.0,0.0,dup
32529,3027,1.2049,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,1618,4.0628,3.0992,0.0,0.0,0.0,1.0,0.0,dup
32511,32510,26.1058,55.8787,0.0,0.0,1.0,1.0,0.0,dup
32511,32453,11.3983,11.8719,0.0,0.0,1.0,1.0,0.0,dup
32511,32386,26.0344,54.7133,0.0,0.0,1.0,1.0,0.0,dup
32510,32453,10.624,5.8256,0.0,0.0,1.0,1.0,0.0,dup
32510,32386,26.0992,50.546,0.0,0.0,1.0,1.0,0.0,dup
32463,32462,7.925,10.0327,0.0,0.0,1.0,1.0,0.2,dup
32453,32386,11.2541,9.0784,0.0,0.0,1.0,1.0,0.0,dup
32408,31246,5.7839,1.04,0.0,0.0,1.0,1.0,0.0,dup
32209,23207,11.2466,16.1169,0.0,1.0,1.0,1.0,0.0,dup
31592,27529,7.7503,5.562,0.0,1.0,1.0,1.0,0.0,dup
31337,27651,9.5987,6.2886,0.0,0.0,1.0,1.0,0.2,dup
31336,22775,1.486,0.0,0.0,0.0,1.0,1.0,0.0,dup
31325,21709,5.5544,0.0,0.0,1.0,0.0,1.0,0.0,dup
31243,24521,10.0423,1.7646,0.0,1.0,1.0,1.0,0.0,dup
30895,20389,1.3301,0.0,0.0,1.0,1.0,1.0,0.0,dup
30712,30371,6.7895,0.0,0.0,0.0,1.0,1.0,1.0,dup
30503,30123,9.6089,4.5444,0.0,0.0,1.0,1.0,0.2,dup
30368,29389,2.4559,0.0,0.0,0.0,1.0,1.0,0.2,dup
30170,30169,31.0229,57.9298,0.0,0.0,1.0,1.0,0.0,dup
30104,27325,5.3045,0.0,0.0,0.0,1.0,1.0,0.2,dup
29951,29094,6.1718,0.8978,0.0,1.0,1.0,1.0,0.0,dup
29701,29306,8.0332,4.5923,0.0,1.0,1.0,1.0,0.0,dup
29686,16491,6.4263,2.9933,0.0,0.0,1.0,1.0,0.3125,dup
29686,16470,10.0392,2.9933,0.0,0.0,1.0,1.0,0.3125,dup
29686,11068,9.0159,0.0,0.0,0.0,1.0,1.0,0.3125,dup
29292,29273,15.8104,16.0173,0.0,0.0,1.0,1.0,0.2,dup
29276,28658,3.8614,2.6752,0.0,1.0,1.0,1.0,0.0,dup
28943,27523,9.1417,12.014,0.0,0.0,1.0,1.0,0.0,dup
28870,28455,11.3602,10.1449,0.0,0.0,0.0,1.0,0.0,dup
28870,28353,6.4221,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,28063,3.6618,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,27661,2.5822,1.9894,0.0,0.0,0.0,1.0,0.0,dup
28870,26991,0.8917,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,26512,2.7583,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,25993,19.504,27.3058,0.0,0.0,1.0,1.0,0.0,dup
28870,25456,4.3757,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,25270,2.3374,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,25164,5.3766,4.5125,0.0,0.0,0.0,1.0,0.0,dup
28870,24938,2.9374,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,24509,20.8284,25.3164,0.0,0.0,1.0,1.0,0.0,dup
28870,24192,18.3105,25.3164,0.0,0.0,1.0,1.0,0.0,dup
28870,23950,9.5817,6.502,0.0,0.0,0.0,1.0,0.0,dup
28870,23899,4.9039,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,20198,1.4303,0.5077,0.0,0.0,0.0,1.0,0.0,dup
28870,19691,3.1895,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,19466,0.8917,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,12981,5.8498,1.3932,0.0,0.0,1.0,1.0,0.0,dup
28870,12420,2.4629,0.5863,0.0,0.0,1.0,1.0,0.3125,dup
28870,9045,1.4953,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,8902,2.4004,1.9894,0.0,0.0,0.0,1.0,0.0,dup
28870,8103,5.3409,1.9894,0.0,0.0,1.0,1.0,0.0,dup
