bugid,c1,c2,c3,c4,c5,c6
37319,1.1682,0.3111,0.5236,0.3968,0.6676,1.3469
37318,2.0801,0.0,2.4423,4.4063,0.0,2.5009
37317,1.8572,2.1861,3.316,0.7561,0.1189,3.6052
37316,4.0646,2.1064,0.9961,4.4837,2.3773,3.4527
37315,2.92,0.0,2.1942,4.2436,0.0,0.9627
37314,1.9703,0.5297,1.1448,1.3576,1.1448,7.0259
37313,2.3453,0.0,3.2889,1.3956,0.3476,5.8777
37312,1.0386,0.0,0.0,0.0,0.0,3.2493
37311,4.758,0.387,1.0069,2.7945,0.6237,3.3533
37310,0.7303,0.5624,0.6412,0.4505,0.211,2.1001
37309,2.6047,1.2259,1.5032,1.8281,0.7489,4.0308
37308,2.3558,0.9452,0.8094,2.2044,0.7305,3.3958
37307,4.9685,0.0,2.1166,2.6732,2.2978,3.5592
37306,5.6602,0.9055,2.8974,2.8637,2.9456,4.9571
37305,2.1614,0.0,0.9206,1.6864,0.0,2.7312
37304,4.887,0.0,0.2722,1.7376,0.7127,4.5167
37303,2.9592,0.2618,1.6949,0.799,0.7965,6.6961
37302,3.2421,0.7453,2.3601,2.9064,0.0,3.8462
37301,4.3598,0.7981,1.9124,0.7981,0.5505,5.3688
37300,4.8063,0.0,6.1249,0.0,0.4365,4.5792
37299,4.3783,0.2005,4.242,1.5668,2.264,5.6689
37298,3.6735,1.2027,0.0,3.936,0.0,0.0
37297,5.7568,1.5984,3.8512,3.846,2.5912,9.0055
37296,5.2896,0.0,1.3488,6.5361,0.0,0.6092
37295,4.3485,1.527,2.0463,3.5604,2.4977,6.119
37294,3.2033,1.7113,3.1483,1.3463,0.5221,0.9956
37293,2.0462,0.0,1.0409,2.3189,0.0,2.7042
37292,2.4864,1.345,1.5714,4.9962,0.0,6.6353
37291,6.557,0.0,2.2004,2.6624,2.0727,6.2913
37290,1.5576,1.6229,2.1503,1.6828,0.0,2.7667
37289,3.1051,0.0,1.7579,1.1666,0.6753,6.1084
37288,2.6674,0.0,4.605,3.3506,3.2236,4.6481
37287,4.6713,1.1787,2.2222,3.5367,1.06,5.6215
37286,4.431,1.98,2.4652,2.7169,0.9808,5.5056
37285,1.6381,0.0,1.3193,1.3193,2.9574,5.5605
37284,0.7786,0.0,0.5875,2.5662,0.6847,4.1027
37283,0.0,0.0,0.0,0.0,0.0,1.1504
37282,4.8447,1.0308,5.2783,4.0822,2.3853,5.8498
37281,6.7432,0.0,3.6075,2.6245,0.0,5.7512
37280,2.8669,1.8003,1.0754,8.2069,1.6644,3.2941
37279,0.6104,0.0,1.7685,0.7458,2.5198,2.1293
37278,5.0261,0.0,3.8149,2.4822,2.3616,7.1163
37277,4.7073,1.2813,1.6857,3.4475,1.4882,7.8182
37276,2.4164,0.5247,1.3795,0.9189,0.0,1.6498
37275,4.4257,1.0976,3.1348,4.1462,0.0,3.1386
37274,1.2581,0.2629,0.9065,1.2271,0.2005,2.8725
37273,2.541,0.0,0.4641,0.0,0.0,2.4586
37272,2.1198,3.5508,3.7328,4.7304,1.3926,3.305
37271,4.6254,2.0253,1.5613,2.1734,0.0,0.9787
37270,1.1408,1.1408,3.3063,4.3912,0.0,4.8926
37269,6.1024,0.0,1.2651,1.5124,0.0,5.4605
37268,5.8945,0.0,1.8859,2.88,0.0,3.4502
37267,2.6185,1.0064,1.1752,2.243,0.0,3.4524
37266,3.9263,0.0,0.6293,0.6418,0.7957,5.6909
37265,2.3098,0.3255,2.8791,2.1569,1.1184,5.7378
37264,2.1236,2.915,1.12,2.1456,1.0625,1.8875
37263,1.7992,0.0,1.1906,1.3145,0.5446,6.3991
37262,4.022,0.0,2.1087,1.8906,2.001,4.9738
37261,2.4966,1.812,0.6538,2.8094,0.4002,2.7132
37260,7.3834,2.7524,6.3793,6.9303,3.5496,12.8622
37259,1.1747,0.0,1.1582,1.1747,0.0,3.5322
37258,4.3693,2.5404,2.4593,4.288,2.6432,4.4285
37257,1.6748,0.4373,1.6987,1.1688,0.5351,3.7747
37256,3.9438,0.8909,6.5168,2.3785,0.3568,12.0112
37255,2.4001,0.836,1.1949,1.1619,0.0534,4.2083
37254,2.3567,2.5342,1.9152,2.4467,0.0,0.8688
37253,4.0656,0.0,0.5925,1.5847,0.0,1.2461
37252,8.5271,1.4565,3.6193,5.0354,1.8067,7.8648
37251,6.7111,2.0954,2.4224,1.2149,1.555,2.9718
37250,3.0944,0.9169,2.6225,1.8784,0.8464,2.9505
37249,2.6269,0.0,1.0377,0.0,2.0096,5.8082
37248,3.6288,0.0,0.7194,1.1515,0.0,4.1722
37247,4.1535,1.3526,3.2698,2.6691,0.6991,6.6403
37246,1.0644,1.0644,1.0644,2.1314,2.8155,3.8867
37245,2.4572,0.4369,1.0904,2.565,0.0,3.172
37244,2.6466,3.8098,2.2599,3.3584,0.4233,2.5354
37243,2.9025,1.3595,2.237,4.3787,1.1548,6.3635
37242,0.0,0.0,0.0,1.885,0.0,1.0348
37241,7.0509,0.5987,1.3457,1.8362,0.0,4.7256
37240,6.3424,3.8535,3.8524,8.456,0.0,10.2879
37239,3.9796,0.0,2.1777,6.1488,5.749,4.5455
37238,3.4068,1.4109,2.4068,3.0717,1.0031,5.2774
37237,7.1174,0.8961,1.4318,3.2464,1.7176,4.5496
37236,3.6971,0.8105,2.6763,0.0,1.7499,4.6342
37235,2.4942,0.5552,3.0046,0.4124,2.2128,3.3026
37234,6.1532,0.0,4.1055,7.7691,0.8559,9.825
37233,4.2153,0.9407,4.2153,2.9391,1.1624,2.9391
37232,3.3087,1.1423,1.8483,3.1789,0.8961,6.5225
37231,5.1885,0.9401,2.0069,5.423,0.0,7.0551
37230,7.4945,0.6978,6.3589,2.8313,0.0,8.6523
37229,0.4499,0.0,1.4272,0.0,0.0,1.4272
37228,3.0214,2.2967,0.6789,1.8005,1.0704,5.0988
37227,1.2812,0.9638,0.789,2.3211,0.0,3.2849
37226,2.005,0.8618,2.2378,2.1375,1.0031,3.6966
37225,2.005,1.6912,2.2881,1.2168,1.0031,4.5543
37224,4.6112,0.6211,4.42,2.7502,2.0594,8.0072
37223,4.2417,2.1005,1.4436,2.1005,0.0,7.232
37222,10.9881,2.2722,1.1431,5.0317,4.9436,1.9422
37221,4.2554,0.4261,3.6987,1.7376,0.3724,6.9136
37220,4.4256,1.8051,3.3327,4.2226,0.4594,2.8016
37219,6.1295,1.6504,4.6963,7.504,0.4901,3.6261
37218,5.6664,1.4913,4.3297,5.3283,0.0,3.3441
37217,3.628,1.2223,2.9061,1.6444,0.0,5.907
37216,4.9442,2.8758,1.8893,1.1323,1.392,1.967
37215,3.1209,1.3566,2.9276,0.8332,1.7674,3.2016
37214,7.0612,0.783,4.3581,2.5079,0.2902,11.0597
37213,4.9057,2.3261,3.6086,6.4171,1.0501,2.5358
37212,1.7032,0.3445,0.0,1.4488,2.9105,5.1018
37211,4.0624,1.9706,2.4616,2.9303,0.7935,3.9399
37210,6.7145,1.2651,3.8254,2.1431,1.3257,3.8301
37209,4.5586,2.6569,4.0899,6.338,1.6496,8.3741
37208,4.1509,1.1149,0.5512,2.7942,0.0,3.9393
37207,2.2046,1.5655,4.8844,4.3449,0.0,6.311
